,Date,Symbol,USD,Deposit Rate,Deposit Rewards,Borrow Rate,Borrow Rewards,availableLiquidity,totalVariableDebt
0,04-01-2021,USDC,0.9995634311214836464615941823529927,0.01782819168714060316,0.03245735343462328989,0.02967161147898829215,0.04869640232838669612,461289947.257869,921990625.924987
1,04-01-2021,DAI,0.9999564074000004727193920342762235,0.03758562322879935825,0.05519308217397210065,0.05199437448488389003,0.06883993988608505116,161681732.526218741967655903,653902410.181142380490690586
2,04-01-2021,USDT,1.001301756340618444875399527853876,0.06713736943343280338,0.13060848640854065023,0.08224228895467314734,0.14422926872965851956,32487516.791765,311519947.629281
3,04-02-2021,USDC,1.001434201200001596015729478478544,0.01782819168714060316,0.03245559483325482211,0.02967161147898829215,0.04869244389648133079,461289947.257869,922065578.76814
4,04-02-2021,DAI,1.003440997800001599214021423796549,0.03758562322879935825,0.05518677898480548115,0.05199437448488389003,0.06883013461176803122,161681732.526218741967655903,653995562.585166451228469033
5,04-02-2021,USDT,1.001162268000000550879526344320303,0.06713736943343280338,0.1305818412312266336,0.08224228895467314734,0.14419677695856086682,32487516.791765,311590142.227553
6,04-03-2021,USDC,1.002010219101632573405335480925547,0.01782819191190595958,0.03245383631349379028,0.0296716116660277414,0.04868848578624312504,461289945.80693,922140537.706556
7,04-03-2021,DAI,1.005451451444193294664638319410586,0.03758562322879935825,0.05518047633051977569,0.05199437448488389003,0.06882033072316246925,161681732.526218741967655903,654088728.363022250678890208
8,04-03-2021,USDT,1.000258667768976529081333645855519,0.06713741275657911829,0.13055520251113682688,0.08224234123483949163,0.14416429351467039256,32487514.783679,311660350.464663
9,04-04-2021,USDC,1.002501121900001521596202819822309,0.01782819204779370948,0.03245207785712829403,0.02967161177910731103,0.04868452799578944444,461289943.645993,922215502.775898
10,04-04-2021,DAI,1.003005246600000252215699310036063,0.03758562322879935825,0.05517417421124168944,0.05199437448488389003,0.06881052822027760428,161681732.526218741967655903,654181907.514709778841954113
11,04-04-2021,USDT,0.9998853870521460266660404677472393,0.06713741275657911829,0.13052856690619446841,0.08224234123483949163,0.14413181618009211957,32487514.783679,311730577.134562
12,04-05-2021,USDC,1.005257846893350580924188089745623,0.01782819204779370948,0.03245031939672811814,0.02967161177910731103,0.04868057052488261107,461289943.645993,922290473.980687
13,04-05-2021,DAI,1.001383696343996180226926641008333,0.03758562322879935825,0.05516787262709781705,0.05199437448488389003,0.06880072710312250014,161681732.526218741967655903,654275100.040229035717660747
14,04-05-2021,USDT,0.9986208141899421929682206953776464,0.06713741275657911829,0.13050193609731687104,0.08224234123483949163,0.14409934607440297895,32487514.783679,311800819.818251
15,04-06-2021,USDC,1.004807050505836450315222541224739,0.01782819204779370948,0.03244856098335768653,0.02967161177910731103,0.04867661337432320001,461289943.645993,922365451.305773
16,04-06-2021,DAI,1.001911092000001303746827575921697,0.03758562322879935825,0.05516157157821464274,0.05199437448488389003,0.06879092737170604557,161681732.526218741967655903,654368305.939580021306010111
17,04-06-2021,USDT,1.000913193000001102796146915471215,0.06713741275657911829,0.13047531008528399117,0.08224234123483949163,0.14406688319771979644,32487514.783679,311871078.515731
18,04-07-2021,USDC,0.9917333529987370279502743262446489,0.01782819204779370948,0.03244680261703271035,0.02967161177910731103,0.04867265654411191495,461289943.645993,922440434.751155
19,04-07-2021,DAI,0.9966969482868314258451285571294796,0.03758562322879935825,0.05515527106471854033,0.05199437448488389003,0.06878112902603695432,161681732.526218741967655903,654461525.212762735607002203
20,04-07-2021,USDT,0.9981572580000017672174621438431288,0.06713745614749371752,0.13044869046733954462,0.08224239359678415789,0.14403442856685361219,32487512.770369,311941351.025101
21,04-08-2021,USDC,1.0048682079482124197673676918728,0.01782819227500133919,0.03244504440784525752,0.02967161196817910649,0.04866870003546221337,461289938.974142,922515424.293844
22,04-08-2021,DAI,1.005976714400724125461456967007832,0.03758562322879935825,0.05514897108673577328,0.05199437448488389003,0.06877133206612376533,161681732.526218741967655903,654554757.859777178620637025
23,04-08-2021,USDT,1.00115058901060092198109016834893,0.06713742005892974139,0.13042207321820434473,0.08224235004694418696,0.1440019805911504099,32487515.929316,312011640.790126
24,04-09-2021,USDC,0.9981407217695074985266069923700845,0.01782819227500133919,0.03244328613563519408,0.02967161196817910649,0.04866474384592388144,461289938.974142,922590419.980292
25,04-09-2021,DAI,0.9919803517000002286018720492650527,0.03758562322879935825,0.05514267164439249472,0.05199437448488389003,0.06876153649197484279,161681732.526218741967655903,654648003.880623350346914576
26,04-09-2021,USDT,0.9997587288000002303943990519600531,0.06762577037680800226,0.13041871404075188227,0.08283160347834446424,0.14398051336765702016,32449868.79996,312058161.138392
27,04-10-2021,USDC,1.003683632990330813273590025632095,0.01782947721299716274,0.03244270260623570569,0.02967268121552850854,0.04866079456478845129,461239953.194428,922665296.869869
28,04-10-2021,DAI,1.008315931450001752145552501010795,0.03758562322879935825,0.05513637273781474752,0.05199437448488389003,0.06875174230359837631,161681732.526218741967655903,654741263.275301250785834856
29,04-10-2021,USDT,1.000477564589075720138566579012883,0.06762577037680800226,0.1303919091123018437,0.08283160347834446424,0.14394784458296227836,32449868.79996,312128982.350811
30,04-11-2021,USDC,1.004553772842880111823325193656144,0.01782947686771260742,0.03219171499156055266,0.0296726809282088506,0.04828303071104420071,461239968.710381,922740307.522681
31,04-11-2021,DAI,1.000748921250166389241249424572066,0.03758562322879935825,0.05470653530985201307,0.05199437448488389003,0.06821383665477049118,161681732.526218741967655903,654834536.043810879937397866
